stt,thema
식초 스프레이를 (NO:뿌리고) 십 분 이상 (NO:)햇볕에 건조시키면 주름이 펴지는 걸 확인할 수 있을 거야(NO:),식초 활용법
지난번 뉴욕 여행 갔을 때 사온 건데 커피 특유의 산미가 좋아서 (NO:사)왔거든,커피 찌꺼기 활용법
나도 탈취 효과가 있다는 얘기를 듣기는 했는데 그거 말고도 또 있나,커피 찌꺼기 활용법
여름철에 (NO:제)습제 사는데 들어가는 돈도 만만치 않은데 좋은 방법이네,커피 찌꺼기 활용법
커피 내리고 남은 찌꺼기인데 영양 성분이 있나,커피 찌꺼기 활용법
베란다에 있는 화분들에 거름으로 주려면 꽤 많은 양이 필요하겠는데,커피 찌꺼기 활용법
아 기름 때를 제거할 때 커피 찌꺼기로 닦으면 좋다고 (NO:하더니) 같은 원리구나,커피 찌꺼기 활용법
나름 커피 마니아라고 자부해왔는데 마실 줄만 알았지 그런 다양한 활용법이 있는지는 꿈에도 몰랐네,커피 찌꺼기 활용법
맞아 아무래도 원목은 물건에 살짝만 부딪쳐도 흠집이 나니까 엄청 신경이 쓰이더라고,커피 찌꺼기 활용법
그럴 때도 커피 찌꺼기를 활용하면 되는 거지 ,커피 찌꺼기 활용법
듣다보니 지금까지 버린 커피 찌꺼(NO:기가) 너무 아까워지네 ,커피 찌꺼기 활용법
그건 그렇지 사실 혼자 밥 먹는 게 어색한 것도 그런 시선 때문이기도 하고,혼족을 위한 지원 정책
그런데 요새 혼족들이 더 많아진 거 같은데 그 이유가 뭘까,혼족을 위한 지원 정책
일인 가구를 위한 행복주택 같은 것도 그런 거지,혼족을 위한 지원 정책
(NO:)(NO:얼마 전) 집 구할 때 보니까 역세권 집들은 역에서 먼 집들에 비해 일 점 오 배 정도 비쌌던 거 같은데,혼족을 위한 지원 정책
그래야겠네 시세의 육십 프로로 (NO:) 이십 년이면 너무 좋은 조건이네,혼족을 위한 지원 정책
직장이 없으면 대출도 못 받고 서러웠는데 좋은 제도네,혼족을 위한 지원 정책
오 그 정도면 전세집 마련은 걱정이 없지,혼족을 위한 지원 정책
일억이 없어서 비싼 월세를 내는 (NO:경우가) 얼마나 많은데,혼족을 위한 지원 정책
(SP:)아 (NO:나도) 월세 내느니 (NO:그 돈으로) 적금을 부으면 좋겠다는 생각 많이 해봤어,혼족을 위한 지원 정책
마을 사람들이 농번기 때 힘을 합해서 같이 농사짓는 그런 거,혼족을 위한 지원 정책
근데 아무리 주방이랑 거실이라도 같이 쓰면 불편하지 않을까,혼족을 위한 지원 정책
혼자 오피스텔이나 원룸에 살다보면 외로울 때가 많은데 적어도 그런 건 없겠구나,혼족을 위한 지원 정책
같이 밥도 해먹고 티비도 보고 하면 즐거울 것 같네,혼족을 위한 지원 정책
우리도 자격이 되면 같이 한번 신청해 보자,혼족을 위한 지원 정책
하나가 되면 하나가 안 되(NO:고) (NO:애들 공부는) 어려워 (NO:그치),암기 잘하는 법
학원에서 암기법을 배웠는데 그게 도움이 된 모양이더라고,암기 잘하는 법
내가 아는 걸 얘기해 (NO:줄테니) 도움이 됐으면 좋겠네,암기 잘하는 법
우선 무조건 외우기보다는 같은 내용을 여러 번 (NO: 읽으면) 보다 효과적으로 암기할 수 있대,암기 잘하는 법
칠회독 공부법이라고 평범한 사람도 일곱 번만 제대로 통독하면 책 한 권이 머리 속에 복사된다는 원리야,암기 잘하는 법
예전에 우리 학교 다닐 때 조선시대 임금 연대순으로 외웠던 방법 기억나,암기 잘하는 법
어 너도 (NO:기억하네) 그렇게 외우면 스트레스도 덜 받았던 것 같아,암기 잘하는 법
암기의 가장 좋은 방법 중 (NO:하나가) 친구들하고 서로 문제를 내고 푸는 거야,암기 잘하는 법
혼자서 죽도록 외워도 나중에 문제를 풀려고 하면 가물(NO:가물한) 경우가 많잖아,암기 잘하는 법
그럴 때는 친구들과 시험에 나올 부분을 문제로 만들어서 풀어보면 좋아,암기 잘하는 법
시험 문제를 내면서 한 번 복습 문제를 풀면서 또 한 번 복습할 수 있는 효과가 있지,암기 잘하는 법
처음에는 조금 어렵겠지만 설명하다 보면 익숙해지고 재미를 붙이더라고,암기 잘하는 법
그 나이에 필요한 건 잔소리가 아니라 아이의 생각을 들어주는 거거든,암기 잘하는 법
걱정마 내가 너한테 언제 그렇게 화를 냈다고 그래,운전 초보자 주차하기
(SN:)주차도 알고 보면 그리 어렵지 않아,운전 초보자 주차하기
주차는 많은 변수를 경험하고 자꾸 연습하면 누구나 잘할 수 있어,운전 초보자 주차하기
주차는 보통 세 가지 상황으로 나뉘어 지니까 그걸 연습해 보자,운전 초보자 주차하기
알았(NO:어) 너는 후진 주차와 전진 주차 중 어느 게 쉬운 것 같아,운전 초보자 주차하기
자 그럼 전진 주차부터 같이 해보자,운전 초보자 주차하기
옆에 차 보이지 그 차와 일미터 거리를 두고 진입한다고 생각하는 거야,운전 초보자 주차하기
그렇지 그리고 왼쪽 라인이 내 차의 앞바퀴와 일직선이 되면 멈추는 거야,운전 초보자 주차하기
아니 왼쪽을 맞추라니까 오른쪽을 맞추니까 그렇지,운전 초보자 주차하기
아니야 차가 한쪽으로 치우치면 후진과 전진을 반복하면 되니까 당황하지 말고,운전 초보자 주차하기
그런 섭섭한 말을 내가 얼마나 친절한 사람인데,운전 초보자 주차하기
초보들은 흔히 전진 주차가 쉽다고 (NO:생각하지만 원리만 잘 알면) 오히려 후진 주차가 더 쉬워,운전 초보자 주차하기
(NO:)사이드 미러만 잘 봐도 후진 주차를 잘할 수 있어,운전 초보자 주차하기
자 해볼까 일단 주차된 차량과 오십 센티미터 거리로 진입해,운전 초보자 주차하기
사이드 미러를 보면서 내 차량 뒤 범퍼가 (NO:오른쪽에 주차된) 차량의 번호판에 올 때(NO:까지) 전진하는 거야,운전 초보자 주차하기
(NO:)그런 다음 스티어링 휠을 오른쪽으로 최대한 돌린 다음 천천히 후진해 ,운전 초보자 주차하기
그렇지 주차된 차들과 수평이 (NO:됐다면) 스티어링 휠을 (NO:풀어 바퀴를 일직선으로) 맞춘 다음 후진하면 돼(NO:),운전 초보자 주차하기
근데 너 가르치다가 내가 제명에 못 죽을 거 같네,운전 초보자 주차하기
다 쓸 데가 있으니까 괜한 걱정은 안 하셔도 됩니다,김빠진 콜라 활용법
아니라니까 어제 자기가 내가 해준 불고기 맛있다고 한 거 기억 안나,김빠진 콜라 활용법
불고기 만들기 전에 생고기를 김빠진 콜라에 삼십 분 정도 재워(NO:둬서) 잡내도 안나고 부드러웠던 거야,김빠진 콜라 활용법
콜라에는 인산 성분이 들어있는데 이게 단백질을 분해해서 부드럽게 해줘 잡내도 없애주고,김빠진 콜라 활용법
(SN:)찜닭에 콜라를 넣는 건 단맛을 내기 위해서지만 고기나 생선의 비린내를 잡고 싶을 때도 콜라에 담가(NO:두면) 좋아,김빠진 콜라 활용법
그뿐 아니야 옷에 기름이 튀거나 페인트가 묻었을 때도 콜라를 사용해 빨래를 하면 깨끗해져,김빠진 콜라 활용법
모르는 소리 오염된 부분에 콜라를 부어주고 십 분 정도 후에 비누로 씻어주면 얼룩 제거는 물론 탈취 효과까지 얻을 수 있다고,김빠진 콜라 활용법
(NO:콜라)를 천에 적셔서 잠시 동안 녹슨 볼트를 감싸줘,김빠진 콜라 활용법
기다려보시라니까 볼트가 충분히 젖었다고 생각되면 천으로 녹슨 부분을 (NO:닦아)내 봐,김빠진 콜라 활용법
그렇지 인상 성분이 부식을 일으켜서 녹을 쉽게 제거해 주는 거야,김빠진 콜라 활용법
지금 콜라 안 버렸다고 나한테 핀잔준 거 면피하려고 이러는 거지,김빠진 콜라 활용법
그게 아니면 자기가 한번 닦아(NO:주면) 좋잖아,김빠진 콜라 활용법
집안일 거들어준다고 약속한 게 언제였더라,김빠진 콜라 활용법
녹슨 볼트와 같은 원리인데 가스(NO:레인지에) 콜라를 부어서 기름때를 분리시켜 준 후 닦아내야 더 깨끗해진다고,김빠진 콜라 활용법
나도 요즘 너무 여행이 가고 싶은 거 있지 (NO:),고속도로 휴게소 백배 이용하기
좋아 그럼 교통편은 어떻게 할까 버스 기차 자동차,고속도로 휴게소 백배 이용하기
일주일 내내 일하고 휴일에 운전하려면,고속도로 휴게소 백배 이용하기
좋아 피곤하면 고속도로 휴게소에서 잠시 쉬면 되니까,고속도로 휴게소 백배 이용하기
그게 바로 국내 여행에서 빼놓을 수 없는 매력 중 하나지,고속도로 휴게소 백배 이용하기
휴게소마다 지역 특산물로 만든 음식을 팔기도 하더라고,고속도로 휴게소 백배 이용하기
아직 우리나라 휴게소가 얼마나 대단한지 잘 모르는구만,고속도로 휴게소 백배 이용하기
횡성 휴게소에는 횡성 떡갈비가 있고 임실 휴게소에는 임실 치즈 철판 볶음밥이 있어,고속도로 휴게소 백배 이용하기
서산 휴게소에는 어리굴젓 백반이 있지 강릉 휴게소의 초당두부 황태국밥도 빼놓을 수 없는 메뉴고,고속도로 휴게소 백배 이용하기
드라이브를 좋아하는 사람들이 쉬는 날 모여 전국 방방곡곡의 휴게소를 여행하는 동호회야,고속도로 휴게소 백배 이용하기
휴게소에 대해서 잘 알면 먹을거리 말고도 얻을 수 있는 혜택이 많아,고속도로 휴게소 백배 이용하기
휴게소에는 셀프 서비스 코너가 있어서 타이어 공기압 주입 (NO:)매트 청소 등 간단한 서비스를 무료로 이용할 수 있어,고속도로 휴게소 백배 이용하기
그건 아니고 고속도로 휴게 시설 앱을 통해서 확인하면 어디서 어떤 서비스를 받을 수 있는지 알 수 있어,고속도로 휴게소 백배 이용하기
추석에 고향 갈 때는 장거리 운전을 하게 되잖아,고속도로 휴게소 백배 이용하기
졸음 운전 예방을 위해 수면실을 갖춘 곳도 있고 찝찝한 몸을 씻을 수 있는 샤워실을 갖춘 곳도 있지,고속도로 휴게소 백배 이용하기
심지어 더러워진 옷을 세탁할 수 있는 코인 세탹실을 갖춘 휴게실도 있다고,고속도로 휴게소 백배 이용하기
칠곡 휴게소와 문경 휴게소에는 캡슐형 수면실이 있고 김천 휴게소에는 샤워실이 마련돼 있어,고속도로 휴게소 백배 이용하기
휴식을 취할 공간이 있으면 추석 나들이가 더 즐거워질 거 같지 않아,고속도로 휴게소 백배 이용하기
이십 사시간 이용할 수 있는 무인 빨래방이라 편리하다고 하더라고,고속도로 휴게소 백배 이용하기
잘 적어놨다가 지방 출장 갈 때 이용해 봐 ,고속도로 휴게소 백배 이용하기
커피 과하게 마시는 거 아니면 좋다고 하던데,홍차 마시기 
응 그거 참 신기하더라 그게 다 녹차 잎에서 나온다니 ,홍차 마시기 
종류가 너무 많아서 고르기 쉽지 않더라고,홍차 마시기 
그런 잉글리시 블랙퍼스트 티 이런 건 영국에서 재배한 건 아니잖아,홍차 마시기 
커피 다른 거 섞어서 이름 따로 만드는 거랑 비슷하구나 ,홍차 마시기 
그래 오렌지 껍질 말린 거 이런 거랑 같이 넣은 티들 맛있더라 ,홍차 마시기 
여행가서 그런 거 산 건 다 실패였는데 ,홍차 마시기 
그러니까 맨날 요리 만들어서 인스타 올리더라,요리 개발하기 
그나저나 요리 연구가님 어떤 요리를 개발하셨나,요리 개발하기 
아 그거 용수산에서 하는 거 아니야,요리 개발하기 
전복찜은 일식 요리에 나오는 거 아니야,요리 개발하기 
이게 요리 잘 하는 사람은 뭐가 달라도 다른(NO:가) 보다  ,요리 개발하기 
그렇지 요즘 그거 다 비치해 둬야 하잖아(NO:),손소독제 위험
그럼 조그마한 자극에도 불이 붙을 수 있구나,손소독제 위험
그게 손이 당기는 것도 알코올 성분 때문이겠네,손소독제 위험
그럼 좋은 단백질 성분까지 다 녹여서 손이 당기는 거구나 ,손소독제 위험
어떤 사람은 세균 죽인다고 얼굴까지 막 바르고 그런다는데,손소독제 위험
응 어린 (NO:애들)한테는 특별히 (NO: 당부를 해야겠다 ),손소독제 위험
대학생들은 배낭에 달고 다니기도 하던데 혹시라도 그거 밖에서 쏟아지면 위험할 수도 있겠다,손소독제 위험
그럼 요즘은 무선 물걸레 청소기도 없으면 못 살아 ,청소기 고르기 
난 그거 사고 싶었는데 친구가 손목 아프고 비싸다고 난리를 펴서 딴 거 샀어 ,청소기 고르기 
응 내가 좋아해서 항상 많이 물어보는 친구야 ,청소기 고르기 
그렇지 전 세계가 일단 멈춤을 (NO:했으니 )호텔에 파리 날리지 ,호캉스 즐기기 
근데 호텔은 말이야 이틀은 해야지 쉬는 거 같이 쉬어,호캉스 즐기기 
생각해 봐 세 시 체크인하지 다음날 열두 시 체크아웃 해야 하지 ,호캉스 즐기기 
종일 쉬려면 이틀은 되어야 쉬는 것 같이 쉰다니까 ,호캉스 즐기기 
그런 (NO:와중에) 또 그 혜택 (NO:본다고) 룰루랄라 놀러 가는 우린 뭐니,호캉스 즐기기 
스낵은 준다고 하니까 밥 한끼만 나가서 먹으면 어떨까,호캉스 즐기기 
요즘 테이크 아웃만 되는 커피숍이 부지기수인데 알바생에게 어떻게 감동을 먹을까,컵홀더 응원 문구
하긴 그래도 플라스틱 뚜껑에 썼으면 더 (NO:짧았겠다 ),컵홀더 응원 문구
정말 요즘 기분 좋은 일이 없으니까 (NO:그런 작은 미담도) 큰 울림이 된다 ,컵홀더 응원 문구
그렇게 뭔가(NO:에) (NO:정성을 들이는 사람은) 뭐가 (NO:되도) 될거야 ,컵홀더 응원 문구
그런데 한의사가 왜 요리책을 냈대 이것도 약이야,독서 후기
사실 나도 요즘 채식을 해보면 어떨까 그런 생각이 들어 ,독서 후기
(NO:인수) 공동 감염 바이러스 얘기고 나오고 (NO:하니까) 그랬는지 어쨌는지,독서 후기
응 공덕역에 있는 서울 창업 허브 이런 데가 있어 ,유니콘 기업 
응 잘 되어 있더라고 거기 사무실을 가지고 스타트업 하는 데들도 많고 ,유니콘 기업 
심사를 통해서 스타트업으로의 역할을 잘 할 수 있는 지를 가리나 봐 ,유니콘 기업 
그렇지 스타트업은 그야말로 (NO:새로운 장을 여는) 기업을 말하니까,유니콘 기업 
음 지금 코로나 때문에 당분간 관광 시장이 위축될 거라서 어떨지 모르겠다 ,유니콘 기업 
그렇다니까 니 동생이 너네 집을 일으킬 수도 있어 ,유니콘 기업 
(NO:예전에는) 스타트업이 개발하면 대기업이 빼앗아가고 그랬는데 (NO:) 그런 시대가 아니잖니,유니콘 기업 
응 그래서 요즘은 윈윈 시스템을 만드는 경우가 많더라고,유니콘 기업 
(NO:그런) 문화가 만들어지는 게 아주 중요(NO:하다고) 생각해 (NO:),유니콘 기업 
(NO:중국 사람들이 그런대) 어떻게 그렇게 스토리를 잘 만들 수 있냐고 묻는대 ,동화책 소개
(NO:그렇겠다 나는) 제주도 가면 비자림숲 잘 갔는데 ,제주어 배우기 
비자림 정말 유명했지 근데 곶자왈은 잘 몰랐어 ,제주어 배우기 
(NO:)근데 옛날에 우리 어릴 때 제주도 가서는 그런 거 못 봤잖아,제주어 배우기 
어이구 무슨 소리야 이제부터 내가 너를 낭이라 부를게 ,제주어 배우기 
아니 잔금까지 다 치렀는데 이사를 안 나가서 기염했어,이사 중 사고 이야기
근데 또 이삿짐 센터 사람들이 안 나타나고 그러니까 그 유학생은 없어져 버린 거야 ,이사 중 사고 이야기
응 정말 다시 한 번 엄마의 활약을 (NO:봤지) 오랜만에,이사 중 사고 이야기
(SN:)두 부동산 사람 불러 놓고 지금 당장 내 앞에서 해결하라고 호통을 치시더라고,이사 중 사고 이야기
(NO:그랬겠다) 생각만 해도 끔찍하다 그래서 보상은 받았어,이사 중 사고 이야기
(SN:)말도 안돼 그럼 안되지 (NO:) 그런 일 없으려고 대기업에 맡기는 건데,이사 중 사고 이야기
조금씩 하고 있어 그게 그렇게 진을 빼고 났더니 며칠 아무것도 못하겠더라고,이사 중 사고 이야기
음 실용적으로 휴지랑 비누 사줘 이사할 (NO:땐) 그런 거 주는 거 아니야,이사 중 사고 이야기
지금 일 년 돼 가는데 한 사 킬로그램 정도 빠진 거 (NO:같아요),간헐적 단식 효과 
건강이 나쁘지는 않은데 건강 검진하니까 수치가 다 나빠지더라고요 ,간헐적 단식 효과 
가급(NO:적이면 맵고 짠 거 잘 안 먹어서) 속 쓰리진 않아요,간헐적 단식 효과 
그것도 그거지만 좋은 점이 그 시간 이외에는 아무거나 먹어도 되요 ,간헐적 단식 효과 
괜찮은지 아닌지는 몰라도 전 디저트 이런 거 다 먹어도 살이 빠지더라고요 ,간헐적 단식 효과 
뭐 뺄 살도 없어 보이지만 관심 있으시면 추천합니다 ,간헐적 단식 효과 
요즘 모임이 다 캔슬되니까 이참에 해보는 거 어때요,간헐적 단식 효과 
그래요 한 번 해보세요 좋은 경험이 될 거예요,간헐적 단식 효과 
일일 일식 정말 한끼만 먹는거예요,간헐적 단식 효과 
그렇게 굶는 건 살이 잘 찌는 체질로 변하는 거 아닌가,간헐적 단식 효과 
하긴 요즘 저녁 많이 먹으면 그게 제일 큰 골치더라고요,간헐적 단식 효과 
제가 일부러 임상한 거니까 나 보고 도전해 봐요 ,간헐적 단식 효과 
운동은 안 했지만 많이 걸으려고 노력했어요 ,간헐적 단식 효과 
기회가 되면 꼭 한번 해 보세요 ,간헐적 단식 효과 
그지 난 빵을 좋아해서 아주 좋아 ,시골 빵집 창업하기
(SP:) 나 커피숍에서 파는 빵들도 정말 비싸더라고,시골 빵집 창업하기
와 잘 어울린다 왜 그래서 창업하게,시골 빵집 창업하기
시골 빵집 요즘 그런 사람들 많은 거 같아 ,시골 빵집 창업하기
시골에서 가서 빵집을 (NO:)하는 이유가 뭐야,시골 빵집 창업하기
근데 시골 사람들이 빵을 많이 사먹나 술빵 그런 것도 아니고 ,시골 빵집 창업하기
아 막 백 년 역사 이런 거,시골 빵집 창업하기
그렇지 그런 거랑 시골 빵집은 다르잖아,시골 빵집 창업하기
(NO:)유기농 그(NO:런) 거 하고 그러는 거 아니야,시골 빵집 창업하기
그래 구례로 귀농하는 사람들도 많다더라 ,시골 빵집 창업하기
대박 청년 창업의 성공 사례 아니야,시골 빵집 창업하기
(NO:아 가본 거야),시골 빵집 창업하기
아 정말 진지하게 생각하는 거구나 ,시골 빵집 창업하기
맛 때(NO:문에) 성공한 거야,시골 빵집 창업하기
어떤 빵을 만들었는데,시골 빵집 창업하기
추어탕 이런 데 넣어 먹는 거 아니야,시골 빵집 창업하기
와 (NO:근사하다 ),시골 빵집 창업하기
그럼 대박이겠다 ,시골 빵집 창업하기
도대체 광고를 (NO:어떻게 하는데),시골 빵집 창업하기
방송에 한 번 나오면 끝나지,시골 빵집 창업하기
가게는 커 임대료는 싸겠다 ,시골 빵집 창업하기
(NO:정말 도시에서는) 젠트리피케이션 때문에 아무것도 못하잖아 ,시골 빵집 창업하기
그렇지 큰 목표만 보고 사느라 작은 행복을 놓치고 사는 거에 대한 반성이지 ,소확행 단어 학습
그래서 누군가는 지금 이 팬데믹이 우리에게 새로운 생각을 심는 시기라고 하잖아,소확행 단어 학습
아니 내가 그냥 만든 말이야 작지만 같이 누리는 행복 그럼 좋겠다고,소확행 단어 학습
그렇다 우린 늘 먼저 규정짓고 거기에 맞춰서 사람을 이해하는 경향이 있지 ,싸이코패스의 뇌 알기
그래 옛날엔 서점에도 많이 갔(NO:었는데) 언제 가봤는지 모르겠다 ,싸이코패스의 뇌 알기
꿈 해몽 이런 거 찾아보는 거지 나도 가끔 이상한 꿈 꾸면 찾아 봐 ,꿈해몽 
와 기대되는데 좀 더 구체적으로 얘기하면 집 안으로 온 게 뭔 상징이 아닐까,꿈해몽 
그래 도시의 비둘기야 이미지가 나쁘지만 한때는 평화의 상징 아니었냐,꿈해몽 
그렇지 (NO:근데) 신기하게 어르신들은 무슨 일 있을 때 신기한 꿈 많이 꾸더라,꿈해몽 
그런거겠지 (NO:그나마) 찾아 봐서 길몽이면 괜찮은데 반대의 경우엔 참 낭패지 ,꿈해몽 
그냥 지출 내역만 잘 (NO:입력하면) 자기가 알아서 계산을 해주는 건 물론이고 항목별 지출 분석까지 해준대 ,엑셀 도전하기 
물론이지 가계부 쓰는 거 하고 안 쓰는 거 하고 확연하게 지출 차이 나 ,엑셀 도전하기 
책으로 배울 수도 (NO:있는데) 요즘 (NO:인터넷에) 강연 자료 엄청 많아 ,엑셀 도전하기 
응 처음 배우긴 쉽지 않으니 어떻게든 배우려고 하는 거지 ,엑셀 도전하기 
전문적으로 하려면 부족하지 외국 대학에선 엑셀 프로그래밍 수업도 있다더만 ,엑셀 도전하기 
그래서 하는 말이야 기초를 배울 거면 유튜브 이용해서 배워도 충분해,엑셀 도전하기 
우선 안은 촉촉하고 밖은 바삭하게 하려면 후라이팬을 쓰는 게 좋아 ,스테이크 잘 굽는 법 
얇은 고기는 그릴이 좋은데 스테이크 고기는 후라이팬이 나아 내 취향이지만,스테이크 잘 굽는 법 
응 맞아 그렇지 않으면 온도 차이가 너무 심해서 그냥 타버리기 십상이야,스테이크 잘 굽는 법 
밑간을 할 때는 피부에 스킨 바르듯이 톡톡톡 두드리면서 올리브 오일이 살 속으로 들어가게 한참 두드려줘야 해 ,스테이크 잘 굽는 법 
응 스테이크 고기를 썰면 밖은 검고 안은 핑크빛 살이 보이지 ,스테이크 잘 굽는 법 
그것도 맛 들이면 맛있어 그리고 그건 피가 아니고 육즙이야,스테이크 잘 굽는 법 
그게 엄청 빠른 거야 보통 백신 하나 만드는데 십 년씩은 걸린대,코로나백신 시험 지원자
응 그래서 일상 이상 삼상 이렇게 여러 단계를 거치는 거야 ,코로나백신 시험 지원자
(NO:) 그런데 임상 시험 지원자들 나서는 거 보니까 뭔가 뭉클하더라,코로나백신 시험 지원자
응 내가 본 건 미국 (NO:어느 목사님이) 구십이 세인데 (NO:시험자로) 나섰(NO:더라고),코로나백신 시험 지원자
외국에서는 백신 시험자 모집 뉴스가 많던데 우리나라는 없나,코로나백신 시험 지원자
근데 백신 개발이 하도 경쟁이 심하니까 러시아 중국 미국 그런 나라들 기사들이 좀 다 부왕부왕해 ,코로나백신 시험 지원자
미국도 그렇고 중국도 그렇고 삼상 실험 지원자 모집 몇 백 명 막 이래 ,코로나백신 시험 지원자
(NO:)정말 우리나라에서 백신 개발되면 그야말로 방역 강대국이 될 텐데,코로나백신 시험 지원자
아무리 잘한다고 해도 기초 의학이나 바이오 이런 데에 투자가 적은 거 아닐까,코로나백신 시험 지원자
(NO:그나마) 코로나 바이러스는 변이가 생겨도 백신을 무력화할 만큼 그렇게 변이가 심한 바이(NO:러스는) 아니라네,코로나백신 시험 지원자
우린 그저 (NO:손) 잘 씻고 건강 잘 챙기고 과학자들을 응원하자,코로나백신 시험 지원자
어떤 게 나오더라 아 그거 아닌가 남편이 게임하니까 전원 꺼버리는,광고 트렌드
아 결혼해도 (NO:비울 수 없는 방이 있습니다) 뭐 그런 거 아니야,광고 트렌드
세상이 팍팍해질수록 그런 감성적인 게 빛을 발휘하나 봐 ,광고 트렌드
이 제작자 감각이 남다르네 말 그대로 인문학으로 광고한다 이거네,광고 트렌드
참 나 우리 학교 다닐 때는 (NO:신문 사설 읽고 논술 공부하고 그랬는데 ),뉴스 다이어트 방법
응 그건 공감해 너무 자극적이야 (SN:)그래서 어떻게 하래,뉴스 다이어트 방법
하긴 요즘 티비 뉴스 보면 정말 곧 무슨 일 날 거 같잖아 ,뉴스 다이어트 방법
응 말 되는 이야기다 정말 쓸데 없는 뉴스 진짜 많이 보게 되잖아 ,뉴스 다이어트 방법
맞아 어르신들 하루 종일 유튜브 보는 분들 많잖아 ,뉴스 다이어트 방법
그러니까 인터넷이 생겨서 (NO:좋은 점도) 많지만 참 어려운 것도 (NO:많아졌어 )(NO:),뉴스 다이어트 방법
응 뭔가 보이지 않는 손에 의해서 우리가 생각하고 행동하게 된다고나 할까,뉴스 다이어트 방법
처음에는 그랬는데 코로나 퍼지기 시작하면서 확 퍼진 거 같아,엠비티아이(MBTI) 유행 이유
나름 그런 (NO:거) 같아 이미 만들어진 건 팔십 년이 넘은 심리 테스트야 ,엠비티아이(MBTI) 유행 이유
그게 핵심이긴 하지 외향성 내향성 감각 직관 사고 감정 판단 인식 이렇게 네 가지로 나뉘는 거야 ,엠비티아이(MBTI) 유행 이유
(NO:그게) 재밌더라 요즘 젊은이 사이에서 유행하는 게 그거 맞추는 놀이 같은 거래 ,엠비티아이(MBTI) 유행 이유
그렇다니까 표가 쫙 나와있어서 그거 보고 잘 맞는다 아니다 그런 거 한대 ,엠비티아이(MBTI) 유행 이유
그만큼 인간에 대한 이해의 폭이 좁아지겠군 맞네 그 의견,엠비티아이(MBTI) 유행 이유
